序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
3465,300430,诚益通,17.85,0.73,0.13,55846.0,99094855.0,3.16,17.91,17.35,17.39,17.72,0.79,2.15,53.89,2.13,4873885309.0,4638397631.0,0.06,0.11,-5.66,-7.13
3466,301318,维海德,26.16,0.73,0.19,9122.0,23817752.8,2.73,26.35,25.64,25.96,25.97,0.64,1.03,30.89,1.88,3539418832.0,2322569768.0,0.0,-0.08,-3.86,-5.35
3467,300802,矩子科技,18.0,0.73,0.13,36218.0,64562615.72,3.41,18.04,17.43,17.58,17.87,0.59,1.86,46.5,3.52,5113408590.0,3504902382.0,0.5,0.67,-2.17,-5.96
3468,688501,青达环保,25.0,0.73,0.18,9011.0,22426641.0,2.7,25.2,24.53,24.6,24.82,0.47,0.73,17.16,2.75,3105650000.0,3105650000.0,0.44,0.4,-2.42,-5.41
3469,600562,国睿科技,24.89,0.73,0.18,53848.0,133148594.0,2.99,25.0,24.26,24.29,24.71,0.46,0.43,62.23,4.75,30909841638.0,30909841638.0,-0.04,-0.12,-5.18,-11.92
3470,000001,平安银行,11.02,0.73,0.08,884129.0,972821270.14,2.01,11.05,10.83,10.91,10.94,0.79,0.46,5.02,0.47,213853218542.0,213849719196.0,0.09,0.09,-4.67,-3.42
3471,300650,太龙股份,15.12,0.73,0.11,49565.0,74586051.35,3.86,15.24,14.66,14.78,15.01,0.65,2.91,71.37,2.59,3650008401.0,2575621556.0,-0.07,0.0,-8.03,-8.7
3472,002925,盈趣科技,19.2,0.73,0.14,84342.0,162072040.52,3.57,19.4,18.72,18.81,19.06,1.0,1.15,62.41,3.21,14816045818.0,14036123866.0,-0.05,-0.1,12.94,13.34
3473,301170,锡南科技,28.05,0.72,0.2,10466.0,29168663.0,2.08,28.18,27.6,27.73,27.85,0.63,3.12,26.28,1.59,2805000000.0,941790671.0,0.18,0.07,2.78,0.36
3474,600109,国金证券,8.36,0.72,0.06,167083.0,139343108.0,1.93,8.39,8.23,8.25,8.3,0.57,0.45,13.66,0.89,30976850648.0,30976850648.0,0.0,-0.12,-8.93,-10.11
3475,300176,鸿特科技,7.04,0.72,0.05,101838.0,71701707.0,4.01,7.12,6.84,6.88,6.99,0.62,2.63,73.92,2.86,2726456832.0,2726456832.0,-0.14,-0.14,6.83,5.55
3476,600193,*ST创兴,4.21,0.72,0.03,60460.0,25329118.0,3.11,4.23,4.1,4.1,4.18,0.53,1.42,-173.92,20.11,1790820330.0,1790820330.0,0.0,0.0,11.38,9.92
3477,600120,浙江东方,5.63,0.72,0.04,251065.0,140882175.0,3.04,5.67,5.5,5.53,5.59,0.54,0.74,18.03,1.17,19228597800.0,19228597800.0,-0.35,-0.18,-6.48,-8.31
3478,600855,航天长峰,16.85,0.72,0.12,53155.0,89096164.0,2.69,16.93,16.48,16.55,16.73,0.49,1.14,-76.59,5.16,7894944967.0,7879729417.0,0.12,0.06,-4.86,-19.91
3479,300424,航新科技,16.7,0.72,0.12,41932.0,69706892.07,3.02,16.81,16.31,16.38,16.58,0.47,1.71,174.42,5.39,4098766554.0,4096340278.0,-0.06,0.06,-1.01,-8.79
3480,601633,长城汽车,20.88,0.72,0.15,106336.0,221111542.0,1.54,20.9,20.58,20.63,20.73,0.54,0.17,18.11,2.04,178688372371.0,129649000939.0,0.0,0.1,-5.48,-7.73
